TIME,V_BAR,V_DELTA,RHO_DOT,PHI_DOT
0.05,0.00,0.00,0.00,0.00
0.11,0.00,0.00,0.00,0.00
0.16,0.00,0.00,0.00,0.00
0.22,0.00,0.00,0.00,0.00
0.27,0.00,0.00,0.00,0.00
0.32,0.00,0.00,0.00,0.00
0.38,0.00,0.00,0.00,0.00
0.43,0.00,0.00,0.00,0.00
0.49,0.00,0.00,0.00,0.00
0.54,0.00,0.00,0.00,0.00
0.59,0.00,0.00,0.00,0.00
0.64,0.00,0.00,0.00,0.00
0.70,0.00,0.00,0.00,0.00
0.75,0.00,0.00,0.00,0.00
0.81,0.00,0.00,0.00,0.00
0.86,0.00,0.00,0.00,0.00
0.91,0.00,0.00,0.00,0.00
0.96,0.00,0.00,0.00,0.00
1.02,0.00,0.00,0.00,0.00
1.07,0.00,0.00,0.00,0.00
1.12,0.00,0.00,0.00,0.00
1.18,0.00,0.00,0.00,0.00
1.23,0.00,0.00,0.00,0.00
1.28,0.00,0.00,0.00,0.00
1.34,0.00,0.00,0.00,0.00
1.39,0.00,0.00,0.00,0.00
1.45,0.00,0.00,0.00,0.00
1.50,0.00,0.00,0.00,0.00
1.55,0.00,0.00,0.00,0.00
1.60,0.00,0.00,0.00,0.00
1.66,0.00,0.00,0.00,0.00
1.71,0.00,0.00,0.00,0.00
1.76,0.00,0.00,0.00,0.00
1.82,0.00,0.00,0.00,0.00
1.87,0.00,0.00,0.00,0.00
1.92,0.00,0.00,0.00,0.00
1.98,0.00,0.00,0.00,0.00
2.03,0.00,12.00,0.00,0.00
2.08,0.00,12.00,0.00,0.00
2.14,0.00,12.00,0.00,0.00
2.19,0.00,12.00,0.00,0.00
2.24,0.00,12.00,0.00,0.00
2.29,0.00,12.00,-0.03,1.95
2.34,0.00,12.00,-0.01,3.05
2.39,0.00,12.00,0.00,3.52
2.45,0.00,12.00,0.00,3.93
2.50,0.00,12.00,-0.01,4.79
2.55,0.00,12.00,0.02,4.06
2.60,0.00,12.00,0.01,3.99
2.65,0.00,12.00,0.03,4.87
2.71,0.00,12.00,0.01,3.99
2.76,0.00,12.00,0.03,4.87
2.81,0.00,12.00,0.03,4.87
2.86,0.00,12.00,0.02,3.48
2.91,0.00,12.00,0.01,4.96
2.96,0.00,12.00,0.01,4.79
3.02,0.00,12.00,0.02,4.06
3.07,0.00,12.00,0.03,4.88
3.12,0.00,12.00,0.02,3.48
3.17,0.00,12.00,-0.00,4.06
3.22,0.00,12.00,0.01,4.79
3.28,0.00,12.00,0.02,4.06
3.33,0.00,12.00,0.02,3.48
3.38,0.00,12.00,0.03,4.88
3.43,0.00,12.00,0.02,4.06
3.48,0.00,12.00,0.01,4.13
3.53,0.00,12.00,0.03,4.87
3.59,0.00,12.00,0.02,3.48
3.64,0.00,12.00,0.03,4.87
3.69,0.00,12.00,0.03,4.87
3.74,0.00,12.00,0.02,4.06
3.79,0.00,12.00,0.03,4.87
3.85,0.00,12.00,0.02,4.06
3.90,0.00,12.00,0.01,4.13
3.95,0.00,12.00,0.01,4.96
4.00,0.00,12.00,0.02,4.06
4.05,0.00,12.00,0.02,3.48
4.11,0.00,12.00,0.03,4.87
4.16,0.00,12.00,0.01,4.13
4.21,0.00,12.00,0.02,4.06
4.26,0.00,12.00,0.03,4.87
4.31,0.00,12.00,0.03,3.54
4.36,0.00,12.00,0.01,4.00
4.42,0.00,12.00,0.04,4.96
4.47,0.00,12.00,0.02,4.06
4.52,0.00,12.00,0.02,4.06
4.57,0.00,12.00,0.03,4.87
4.62,0.00,12.00,0.02,4.06
4.68,0.00,12.00,0.01,3.99
4.73,0.00,12.00,0.03,5.04
4.78,0.00,12.00,0.02,3.48
4.83,0.00,12.00,0.02,4.06
4.88,0.00,12.00,0.03,4.87
4.94,0.00,12.00,0.01,4.13
4.99,0.00,12.00,0.01,4.13
5.04,0.00,12.00,0.02,4.06
5.09,0.00,12.00,0.02,4.06
5.14,0.00,12.00,0.02,4.06
5.19,0.00,12.00,0.01,4.79
5.25,0.00,12.00,0.02,4.06
5.30,0.00,12.00,0.02,4.06
5.35,0.00,12.00,0.03,4.87
5.40,0.00,12.00,0.04,4.13
5.45,0.00,12.00,0.01,3.99
5.51,0.00,12.00,0.02,4.06
5.56,0.00,12.00,0.02,4.06
5.61,0.00,12.00,0.03,5.04
5.66,0.00,12.00,0.01,4.96
5.71,0.00,12.00,0.02,4.06
5.77,0.00,12.00,0.02,4.06
5.82,0.00,12.00,0.03,4.87
5.87,0.00,12.00,0.02,4.06
5.92,0.00,12.00,0.02,4.06
5.97,0.00,12.00,0.03,4.87
6.03,0.00,0.00,0.02,2.71
6.07,0.00,0.00,0.01,0.89
6.13,0.00,0.00,0.02,0.14
6.18,0.00,0.00,0.00,0.00
6.23,0.00,0.00,0.00,0.00
6.29,0.00,0.00,0.00,0.00
6.34,0.00,0.00,0.00,0.00
6.40,0.00,0.00,0.00,0.00
6.45,0.00,0.00,0.00,0.00
6.50,0.00,0.00,0.00,0.00
6.55,0.00,0.00,0.00,0.00
6.61,0.00,0.00,0.00,0.00
6.66,0.00,0.00,0.00,0.00
6.71,0.00,0.00,0.00,0.00
6.77,0.00,0.00,0.00,0.00
6.82,0.00,0.00,0.00,0.00
6.87,0.00,0.00,0.00,0.00
6.93,0.00,0.00,0.00,0.00
6.98,0.00,0.00,0.00,0.00
