TIME,V_BAR,V_DELTA,RHO_DOT,PHI_DOT
0.03,0.00,0.00,0.00,0.00
0.09,0.00,0.00,0.00,0.00
0.14,0.00,0.00,0.00,0.00
0.20,0.00,0.00,0.00,0.00
0.25,0.00,0.00,0.00,0.00
0.30,0.00,0.00,0.00,0.00
0.35,0.00,0.00,0.00,0.00
0.40,0.00,0.00,0.00,0.00
0.46,0.00,0.00,0.00,0.00
0.51,0.00,0.00,0.00,0.00
0.56,0.00,0.00,0.00,0.00
0.62,0.00,0.00,0.00,0.00
0.67,0.00,0.00,0.00,0.00
0.72,0.00,0.00,0.00,0.00
0.78,0.00,0.00,0.00,0.00
0.83,0.00,0.00,0.00,0.00
0.89,0.00,0.00,0.00,0.00
0.94,0.00,0.00,0.00,0.00
0.99,0.00,0.00,0.00,0.00
1.04,0.00,0.00,0.00,0.00
1.10,0.00,0.00,0.00,0.00
1.15,0.00,0.00,0.00,0.00
1.21,0.00,0.00,0.00,0.00
1.26,0.00,0.00,0.00,0.00
1.31,0.00,0.00,0.00,0.00
1.36,0.00,0.00,0.00,0.00
1.41,0.00,0.00,0.00,0.00
1.47,0.00,0.00,0.00,0.00
1.52,0.00,0.00,0.00,0.00
1.58,0.00,0.00,0.00,0.00
1.63,0.00,0.00,0.00,0.00
1.69,0.00,0.00,0.00,0.00
1.74,0.00,0.00,0.00,0.00
1.79,0.00,0.00,0.00,0.00
1.85,0.00,0.00,0.00,0.00
1.90,0.00,0.00,0.00,0.00
1.95,0.00,0.00,0.00,0.00
2.00,0.00,0.00,0.00,0.00
2.05,12.00,0.00,0.43,-0.24
2.10,12.00,0.00,0.60,-0.00
2.15,12.00,0.00,0.81,0.00
2.21,12.00,0.00,0.72,-0.00
2.26,12.00,0.00,0.90,0.00
2.31,12.00,0.00,0.74,0.07
2.36,12.00,0.00,0.72,0.14
2.41,12.00,0.00,0.88,0.08
2.47,12.00,0.00,0.74,0.07
2.52,12.00,0.00,0.75,0.14
2.57,12.00,0.00,0.90,0.16
2.62,12.00,0.00,0.76,0.07
2.67,12.00,0.00,0.88,0.08
2.72,12.00,0.00,0.75,0.14
2.78,12.00,0.00,0.75,0.14
2.83,12.00,0.00,0.90,0.16
2.88,12.00,0.00,0.74,0.07
2.93,12.00,0.00,0.75,0.14
2.98,12.00,0.00,0.74,0.07
3.04,12.00,0.00,0.75,0.14
3.09,12.00,0.00,0.88,0.08
3.14,12.00,0.00,0.90,0.16
3.19,12.00,0.00,0.75,0.14
3.24,12.00,0.00,0.75,0.14
3.30,12.00,0.00,0.88,0.08
3.35,12.00,0.00,0.76,0.20
3.40,12.00,0.00,0.90,-0.00
3.45,12.00,0.00,0.93,0.16
3.50,12.00,0.00,0.74,0.07
3.55,12.00,0.00,0.91,0.24
3.61,12.00,0.00,0.74,0.07
3.66,12.00,0.00,0.76,0.07
3.71,12.00,0.00,0.75,0.14
3.76,12.00,0.00,0.76,0.07
3.81,12.00,0.00,0.76,0.07
3.87,12.00,0.00,0.91,0.24
3.92,12.00,0.00,0.75,-0.00
3.97,12.00,0.00,0.65,0.06
4.02,12.00,0.00,0.88,0.08
4.07,12.00,0.00,0.90,0.16
4.13,12.00,0.00,0.75,0.14
4.18,12.00,0.00,0.90,0.16
4.23,12.00,0.00,0.88,0.08
4.28,12.00,0.00,0.76,0.20
4.33,12.00,0.00,0.90,0.16
4.38,12.00,0.00,0.76,0.20
4.44,12.00,0.00,0.64,0.12
4.49,12.00,0.00,0.91,0.24
4.54,12.00,0.00,0.75,0.14
4.59,12.00,0.00,0.75,0.14
4.64,12.00,0.00,0.90,0.16
4.70,12.00,0.00,0.65,0.17
4.75,12.00,0.00,0.75,0.14
4.80,12.00,0.00,0.90,0.16
4.85,12.00,0.00,0.77,0.14
4.90,12.00,0.00,0.91,0.08
4.96,12.00,0.00,0.90,0.16
5.01,12.00,0.00,0.75,0.14
5.06,12.00,0.00,0.93,0.16
5.11,12.00,0.00,0.90,0.16
5.16,12.00,0.00,0.64,0.12
5.21,12.00,0.00,0.90,0.16
5.27,12.00,0.00,0.91,0.24
5.32,12.00,0.00,0.75,0.14
5.37,12.00,0.00,0.91,0.24
5.42,12.00,0.00,0.91,0.08
5.47,12.00,0.00,0.76,0.07
5.53,12.00,0.00,0.75,0.14
5.58,12.00,0.00,0.90,0.16
5.63,12.00,0.00,0.65,0.06
5.68,12.00,0.00,0.90,0.16
5.73,12.00,0.00,0.90,0.16
5.78,12.00,0.00,0.75,0.14
5.84,12.00,0.00,0.90,0.16
5.89,12.00,0.00,0.74,0.07
5.94,12.00,0.00,0.76,0.07
5.99,12.00,0.00,0.91,0.08
6.04,0.00,0.00,0.42,0.33
6.09,0.00,0.00,0.10,0.08
6.15,0.00,0.00,0.01,0.07
6.20,0.00,0.00,0.00,0.00
6.25,0.00,0.00,0.00,0.00
6.30,0.00,0.00,0.00,0.00
6.35,0.00,0.00,0.00,0.00
6.40,0.00,0.00,0.00,0.00
6.46,0.00,0.00,0.00,0.00
6.51,0.00,0.00,0.00,0.00
6.57,0.00,0.00,0.00,0.00
6.62,0.00,0.00,0.00,0.00
6.67,0.00,0.00,0.00,0.00
6.73,0.00,0.00,0.00,0.00
6.78,0.00,0.00,0.00,0.00
6.83,0.00,0.00,0.00,0.00
6.89,0.00,0.00,0.00,0.00
6.94,0.00,0.00,0.00,0.00
6.99,0.00,0.00,0.00,0.00
