TIME,VOLTAGE,VELOCITY
0,0,0
0.05,0,0
0.1,0,0
0.15,0,0
0.2,0,0
0.26,0,0
0.31,0,0
0.36,0,0
0.41,0,0
0.46,0,0
0.51,0,0
0.56,0,0
0.61,0,0
0.67,0,0
0.72,0,0
0.77,0,0
0.82,0,0
0.87,0,0
0.92,0,0
0.97,0,0
1.02,3,0
1.08,3,2
1.13,3,4.31
1.18,3,5.16
1.23,3,5.36
1.28,3,5.62
1.33,3,5.7
1.38,3,5.78
1.43,3,5.77
1.49,3,5.56
1.54,3,5.81
1.59,3,5.77
1.64,3,5.74
1.69,3,5.81
1.74,3,5.66
1.79,3,5.78
1.84,3,5.81
1.9,3,5.78
1.95,3,5.77
2,3,5.7
2.05,3,5.78
2.1,3,5.7
2.15,3,5.78
2.2,3,5.77
2.26,3,5.66
2.31,3,5.74
2.36,3,5.77
2.41,3,5.78
2.46,3,5.77
2.51,3,5.66
2.56,3,5.81
2.61,3,5.81
2.67,3,5.66
2.72,3,5.81
2.77,3,5.63
2.82,3,5.81
2.87,3,5.77
2.92,3,5.77
2.97,3,5.81
3.02,3,5.7
3.08,0,5.77
3.13,0,3.47
3.18,0,0.89
3.23,0,0.04
3.28,0,0
3.33,0,0
3.38,0,0
3.43,0,0
3.48,0,0
3.54,0,0
3.59,0,0
3.64,0,0
3.69,0,0
3.74,0,0
3.79,0,0
3.84,0,0
3.89,0,0
3.95,0,0
4,0,0
4.05,0,0
